MARKET,SERIES,SYMBOL,SECURITY,PREVIOUS CLOSE PRICE,OPEN PRICE,HIGH PRICE,LOW PRICE,CLOSE PRICE,NET TRADED VALUE,NET TRADED QTY,TRADES,52 WEEK HIGH,52 WEEK LOW,UNDERLYING
N,EQ,SHARIABEES,NIP IND ETF SHARIAH BEES,       517.52,       522.98,       523.00,       517.64,       521.09,                  4024135.84,7732,732,       547.54,       450.10,SHARIAH
N,EQ,SILVER,BIRLASLAMC - SILVER,       223.75,       228.76,       231.50,       227.64,       230.98,                555730669.27,2416562,17977,       251.99,        86.75,PHYSICAL PRICE OF SILVER
N,EQ,SILVER1,KOTAKMAMC - KOTAKSILVE,       221.27,       226.80,       226.80,       221.68,       225.49,                385119727.77,1712521,8784,       244.70,        84.09,KOTAK SILVER ETF
N,EQ,SILVER360,360ONEAMC - SILVER360,       218.83,       222.99,       228.60,       222.74,       227.05,                 25658502.05,113667,3350,       240.00,        78.40,COMMODITY-SILVER
N,EQ,SILVERADD,DSPAMC - DSPSILVETF,       218.02,       215.00,       224.76,       215.00,       224.19,                144218090.37,646009,4241,       243.99,        83.51,DSP SILVER ETF
N,EQ,SILVERAG,MIRAEAMC - MASILVER,       218.09,       224.98,       225.49,       221.80,       223.69,                469620992.87,2101474,3692,       249.40,        84.52,MIRAE ASSET SILVER ETF
N,EQ,SILVERBEES,NIPPONAMC - NETFSILVER,       214.95,       220.33,       222.20,       217.60,       221.87,              14000425810.28,63378048,177979,       243.29,        77.55,DOMESTIC PRICE OF SILVER- BASED ON LBMA SILVER DAILY SPOT FIXING PRICE
N,EQ,SILVERBETA,UTIAMC-SILVERBETA,       217.29,       221.99,       225.00,       220.16,       224.66,                404753281.29,1811639,8966,       244.64,        84.19,UTI SILVER EXCHANGE TRADED FUND (UTI SILVER ETF)
N,EQ,SILVERBND,BANDHANAMC - SILVERBND,       225.87,       227.60,       245.29,       226.99,       240.05,                 15066390.38,64618,837,       261.42,       180.00,COMMODITY - SILVER
N,EQ,SILVERCASE,ZERODHAAMC - SILVERCASE,        22.81,        23.38,        23.66,        22.95,        23.52,                489651256.11,20864357,19029,        25.40,         9.00,COMMODITY-SILVER
N,EQ,SILVERIETF,ICICIPRAMC - ICICISILVE,       224.95,       229.50,       233.00,       221.01,       231.68,               3053025743.16,13257278,37887,       251.35,        86.55,DOMESTIC PRICE OF SILVER
N,EQ,SMALL250,MIRAEAMC - SMALL250,        16.67,        16.69,        16.81,        16.68,        16.79,                  1894520.27,113104,191,        17.64,        15.85,NIFTY SMALLCAP 250
N,EQ,SMALLADD,DSPAMC - SMALLADD,        16.68,        16.99,        16.99,        16.71,        16.81,                   677893.84,40357,42,        16.99,        15.98,NIFTY SMALLCAP 250 INDEX
N,EQ,SMALLCAP,MIRAEAMC - SMALLCAP,        43.95,        44.41,        44.49,        43.92,        44.17,                 62889037.46,1425255,3260,        54.50,        37.45,MIRAE ASSET NIFTY SMALLCAP 250 MOMENTUM QUALITY 100 ETF
N,EQ,SML100CASE,ZERODHAAMC - SML100CASE,         9.98,         9.97,        10.15,         9.68,        10.08,                 11065881.70,1100348,972,        11.00,         9.48,NIFTY SMALLCAP 100 INDEX
N,EQ,SNXT30BEES,NIPPONAMC - SNXT30BEES,        40.92,        40.93,        41.45,        40.70,        41.24,                   628971.08,15279,75,        41.57,        37.03,BSE SENSEX NEXT 30 INDEX
N,EQ,SNXT50BETA,UTIAMC-SNXT50BETA,        94.39,        95.19,        95.20,        93.06,        94.06,                   350446.63,3718,141,       102.25,        66.72,BSE SENSEX NEXT 50
N,EQ,TATAGOLD,TATAAML-TATAGOLD,        12.96,        13.28,        14.30,        12.63,        13.11,                644017215.94,49241235,81519,        14.50,         7.14,TATA GOLD EXCHANGE TRADED FUND
N,EQ,TATSILV,TATAAML-TATSILV,        21.84,        22.01,        22.63,        22.01,        22.57,               2220888844.53,99021535,110365,        25.10,         8.43,TATA SILVER EXCHANGE TRADED FUND
N,EQ,TECH,BIRLASLAMC - TECH,        41.02,        42.04,        42.04,        40.97,        41.26,                   898240.30,21789,166,        47.30,        33.41,NIFTY IT TRI INDEX
N,EQ,TNIDETF,TATAAML - TNIDETF,        98.87,       100.80,       100.80,        97.30,        99.13,                 11184231.27,113335,737,       103.26,        76.95,NIFTY INDIA DIGITAL INDEX
N,EQ,TOP100CASE,ZERODHAAMC - TOP100CASE,        11.15,        11.48,        11.48,        11.10,        11.23,                 11128532.71,992486,1714,        11.48,         8.01,ZERODHA NIFTY 100 ETF
N,EQ,TOP10ADD,DSPAMC - TOP10ADD,       101.27,       100.67,       101.51,       100.67,       101.46,                  7499944.10,73984,542,       103.43,        86.50,NIFTY TOP 10 EQUAL WEIGHT INDEX
N,EQ,TOP15IETF,ICICIPRAMC - TOP15IETF,        11.03,        11.05,        11.10,        11.02,        11.09,                   686503.08,61990,158,        11.33,        10.00,NIFTY TOP 15 EQUAL WEIGHT INDEX
N,EQ,TOP20,MIRAEAMC - TOP20,         9.66,         9.90,         9.90,         9.68,         9.72,                   225633.19,23223,60,         9.92,         9.58,NIFTY TOP 20 EQUAL WEIGHT
N,EQ,TWCGOLDETF,WEALTH - TWCGOLDETF,       138.24,       134.24,       134.24,       130.43,       131.55,                 15202254.68,115512,335,       134.24,       130.43,COMMODITY
N,EQ,UNIONGOLD,UNIONAMC - UNIONGOLD,       131.05,       131.70,       133.05,       130.35,       132.35,                   265249.15,2008,81,       136.85,        82.00,COMMODITY GOLD
N,EQ,VAL30IETF,ICICIPRAMC - VAL30IETF,        15.04,        15.06,        15.32,        15.06,        15.30,                  3864246.95,253407,587,        17.49,        10.96,NIFTY200 VALUE 30 INDEX
