GAIN_LOSS,SECURITY,CLOSE_PRIC,PREV_CL_PR,PERCENT_CG
 ,Nifty 50 Sec., , , 
 , , , , 
G,TAURIAN MPS LIMITED,       251.00,       241.00,4.15
G,VIKAS ECOTECH LIMITED,         1.77,         1.70,4.12
G,PIRAMAL FINANCE LIMITED,      1712.50,      1645.00,4.10
G,PG ELECTROPLAST LTD,       602.70,       578.95,4.10
G,GSS INFOTECH LIMITED,        17.06,        16.39,4.09
G,INDIAN EMULSIFIERS LTD,        93.00,        89.35,4.09
G,SMS PHARMACEUTICALS LTD.,       326.25,       313.45,4.08
G,NEPHROCARE HEALTH SERV L,       474.40,       455.80,4.08
G,CONFIDENCE PETRO IND LTD.,        37.25,        35.79,4.08
G,AGI INFRA LIMITED,       273.35,       262.75,4.03
G,SMARTEN POWER SYSTEMS LTD,        77.85,        74.85,4.01
G,UTKARSH SMALL FIN BANK L,        15.33,        14.74,4.00
G,GROWWAMC - GROWWSLVR,       228.66,       219.86,4.00
G,TOLINS TYRES LIMITED,       139.11,       133.76,4.00
G,AADHAR HOUSING FINANCE L,       500.55,       481.40,3.98
G,FEDBANK FINANCIAL SER L,       160.60,       154.49,3.95
G,OLECTRA GREENTECH LIMITED,      1248.00,      1200.60,3.95
G,NET AVENUE TECHNOLOGIES L,         3.95,         3.80,3.95
G,NAVNEET EDUCATION LTD,       147.64,       142.04,3.94
G,FORCAS STUDIO LIMITED,       120.00,       115.45,3.94
G,MAHINDRA EPC IRRIG LTD,       133.04,       128.01,3.93
G,VENUS PIPES & TUBES LTD,      1206.80,      1161.20,3.93
G,MISHRA DHATU NIGAM LTD,       355.15,       341.75,3.92
G,IKIO TECHNOLOGIES LIMITED,       185.49,       178.57,3.88
G,ARABIAN PETROLEUM LIMITED,        73.75,        71.00,3.87
G,SOLARA RS. 7 PPD UP,       405.00,       390.00,3.85
G,CONNPLEX CINEMAS LIMITED,       276.75,       266.50,3.85
G,SAHAJ SOLAR LIMITED,       176.85,       170.30,3.85
G,GLOTTIS LIMITED,        61.52,        59.25,3.83
G,RAPID FLEET MGT SERVICE L,       190.00,       183.00,3.83
G,BANCO PRODUCTS (I) LTD,       708.70,       682.60,3.82
G,RHETAN TMT LIMITED,        25.56,        24.62,3.82
G,CHEMPLAST SANMAR LIMITED,       265.80,       256.05,3.81
G,BHARAT WIRE ROPES LTD.,       186.62,       179.81,3.79
G,ONE 97 COMMUNICATIONS LTD,      1340.60,      1291.70,3.79
G,PURV FLEXIPACK LIMITED,        76.90,        74.10,3.78
G,LAXMI INDIA FINANCE LTD,       127.35,       122.72,3.77
G,CRAFTSMAN AUTOMATION LTD,      8013.50,      7722.50,3.77
G,360ONEAMC - SILVER360,       227.05,       218.83,3.76
G,ANAND RATHI SH N STK BR L,       656.45,       632.70,3.75
G,HIGHWAY INFRASTRUCTURE L,        59.89,        57.73,3.74
G,YES BANK LIMITED,        22.29,        21.49,3.72
G,NORTHERN ARC CAPITAL LTD,       259.45,       250.19,3.70
G,GUJARAT GAS LIMITED,       436.30,       420.75,3.70
G,ORCHASP LIMITED,         3.09,         2.98,3.69
G,SHERA ENERGY LIMITED,       134.85,       130.05,3.69
G,GODAVARI BIOREFINERIES L,       299.30,       288.65,3.69
G,GOKUL REFOILS & SOLV LTD,        39.38,        37.98,3.69
G,HINDUSTAN COPPER LTD,       541.90,       522.65,3.68
G,FALCON TECHNOPROJ IND LTD,        15.50,        14.95,3.68
G,INDIA NIPPON ELECT  LTD,       841.70,       811.85,3.68
G,GHCL TEXTILES LIMITED,        76.77,        74.06,3.66
G,NIIT LEARNING SYSTEMS LTD,       414.15,       399.55,3.65
G,BLACKBUCK LIMITED,       699.10,       674.55,3.64
G,NMDC STEEL LIMITED,        45.69,        44.09,3.63
G,RATTANINDIA ENT LIMITED,        42.30,        40.82,3.63
G,PARSVNATH DEVELOPER LTD,        10.58,        10.21,3.62
G,HDFCAMC - HDFCSILVER,       222.97,       215.18,3.62
G,LINCOLN PHARMA LTD,       497.15,       479.80,3.62
G,INTEGRITY INFRABUILD DE L,       136.75,       132.00,3.60
G,QUICKTOUCH TECHNOLOGIES L,        41.75,        40.30,3.60
G,YATHARTH HOSP & TRA C S L,       699.45,       675.20,3.59
G,SILGO RETAIL LIMITED,        80.94,        78.15,3.57
G,KAY CEE ENERGY & INFRA L,       153.10,       147.85,3.55
G,ORISSA MIN DEV CO LTD,      5162.00,      4985.50,3.54
G,KRN HEAT EXCHANGE N REF L,       770.15,       743.85,3.54
G,PAKKA LIMITED,       108.95,       105.24,3.53
G,SUNTECH INFRA SOLUTIONS L,        42.65,        41.20,3.52
G,AKI INDIA LIMITED,         6.79,         6.56,3.51
G,AEROFLEX ENTERPRISES LTD,        87.91,        84.94,3.50
G,RELIANCE POWER LTD.,        35.93,        34.72,3.49
G,ION EXCHANGE (INDIA) LTD,       386.55,       373.55,3.48
G,ACTION CONST EQUIP LTD,       976.80,       943.95,3.48
G,SCL 9.95% 2035 SR XII,      1014.00,       980.00,3.47
G,VIRINCHI LIMITED,        23.90,        23.10,3.46
G,INDIAN BANK,       861.40,       832.60,3.46
G,PHOENIX OVERSEAS LIMITED,        23.95,        23.15,3.46
G,SUZLON ENERGY LIMITED,        54.28,        52.47,3.45
G,HLV LIMITED,         9.60,         9.28,3.45
G,SAMHI HOTELS LIMITED,       185.42,       179.25,3.44
G,PRICOL LIMITED,       683.05,       660.50,3.41
G,SEC RE NCD 10.15% SR I,      1030.00,       996.05,3.41
G,JAY JALARAM TECHNO LTD,       164.25,       158.85,3.40
G,SJS ENTERPRISES LIMITED,      1840.20,      1779.80,3.39
G,LOYAL TEXTILE MILLS LTD,       221.21,       213.95,3.39
G,UTIAMC-SILVERBETA,       224.66,       217.29,3.39
G,CHEMFAB ALKALIS LIMITED,       426.80,       412.80,3.39
G,TATA MOTORS LIMITED,       442.25,       427.75,3.39
G,KERNEX MICROSYS(I) LTD,      1250.80,      1209.80,3.39
G,IIFL FINANCE LIMITED,       641.40,       620.45,3.38
G,SOLARA ACTIVE PHA SCI LTD,       582.05,       563.10,3.37
G,IFGL REFRACTORIES LIMITED,       213.64,       206.69,3.36
G,KAYTEX FABRICS LIMITED,        75.45,        73.00,3.36
G,RACL GEARTECH LIMITED,      1152.10,      1114.80,3.35
G,MOHIT INDUSTRIES LTD,        29.04,        28.10,3.35
G,TATAAML-TATSILV,        22.57,        21.84,3.34
G,SBIAMC - SBISILVER,       227.61,       220.27,3.33
G,GUJARAT MINERAL DEV CORP,       619.45,       599.50,3.33
G,UCO BANK,        30.51,        29.53,3.32
G,VOLTAS LTD,      1430.20,      1384.30,3.32
G,HARIOM PIPE INDUSTRIES L,       395.50,       382.85,3.30
G,ONWARD TECHNOLOGIES LTD,       303.70,       294.00,3.30
G,SUNDARAM CLAYTON LIMITED,      1255.80,      1215.80,3.29
G,CAPITAL TRUST LIMITED,        12.90,        12.49,3.28
G,RATTANINDIA POWER LIMITED,         9.76,         9.45,3.28
G,PEARL GLOBAL IND LIMITED,      1653.70,      1601.20,3.28
G,HP ADHESIVES LIMITED,        42.69,        41.34,3.27
G,SHIGAN QUANTUM TECH LTD,        47.50,        46.00,3.26
G,FCS SOFTWARE SOLN. LTD.,         1.90,         1.84,3.26
G,GOI LOAN   6.92% 2039,       103.35,       100.10,3.25
G,UNIPARTS INDIA LIMITED,       497.05,       481.45,3.24
G,BIRLASLAMC - SILVER,       230.98,       223.75,3.23
G,HONASA CONSUMER LIMITED,       292.75,       283.60,3.23
G,QUESS CORP LIMITED,       215.04,       208.33,3.22
G,NIPPONAMC - NETFSILVER,       221.87,       214.95,3.22
G,ORIENT TECHNOLOGIES LTD,       447.60,       433.70,3.20
