MARKET,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,CORP_IND,HI_52_WK,LO_52_WK
G,ST,DHARIWAL,DHARIWALCORP LIMITED,       351.00,       355.00,       356.00,       354.10,       354.10,                  6599880.00,18600, ,       371.30,        90.50
N,SM,DIGIKORE,DIGIKORE STUDIOS LIMITED,        73.55,        71.00,        74.65,        71.00,        72.05,                   349260.00,4800, ,       307.60,        64.80
G,ST,DIVINEHIRA,DIVINE HIRA JEWELLERS LTD,       230.00,       228.00,       228.00,       225.60,       225.60,                  4699840.00,20800, ,       239.00,        43.00
N,ST,DPEL,DIVINE POWER ENERGY LTD,       266.20,       266.20,       270.00,       262.00,       268.00,                 11996475.00,45000, ,       305.70,        92.05
N,SM,DIVYADHAN,DIVYADHAN RECYCLING IND L,        29.75,        29.75,        29.75,        29.75,        29.75,                   119000.00,4000, ,        78.60,        27.00
N,ST,DHTL,DOCMODE HEALTH TECH LTD,        64.75,        67.95,        67.95,        67.95,        67.95,                   326160.00,4800, ,       125.20,        36.90
N,SM,DRONE,DRONE DESTINATION LIMITED,        67.05,        65.00,        70.40,        65.00,        66.35,                  4060175.00,60500, ,       219.85,        64.55
N,SM,DUCOL,DUCOL ORGS AND COLOURS LT,       150.00,       145.10,       150.50,       145.00,       149.50,                  3211360.00,21600, ,       209.50,        93.50
N,SM,DUGLOBAL,DUDIGITAL GLOBAL LIMITED,        31.90,        30.80,        30.80,        30.20,        30.20,                   228250.00,7500, ,        70.00,        28.05
N,SM,DURLAX,DURLAX TOP SURFACE LTD,        42.00,        45.95,        45.95,        40.05,        41.55,                  3002500.00,72000, ,        59.75,        32.70
N,SM,DYNAMIC,DYNAMIC SRVCS & SEC LTD,       128.80,       134.35,       134.35,       122.40,       127.15,                  2899275.00,23000, ,       391.80,        85.40
N,ST,EFACTOR,E FACTOR EXPERIENCES LTD,       339.20,       337.90,       340.50,       335.90,       337.00,                  1215160.00,3600, ,       348.00,       127.50
N,SM,ECOLINE,ECOLINE EXIM LIMITED,       129.95,       130.00,       133.50,       129.90,       131.75,                   783400.00,6000, ,       143.90,       126.05
N,SM,EFFWA,EFFWA INFRA & RESEARCH L,       223.10,       223.10,       229.50,       221.45,       226.35,                   811940.00,3600, ,       270.00,       147.55
N,SM,EFORCE,ELECTRO FORCE (INDIA) LTD,        33.30,        32.75,        33.90,        32.75,        33.30,                   321780.00,9600, ,        64.50,        29.20
